"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"163","EPIC 228754001 b","Confirmed",9.1708,0.0025,0.0025,2017,"2017-07-12","Published in a refereed paper","Primary Transit","","","","","EPIC 228754001",182.16641668,-8.74717502574,"K",4878,"","",""
"164","EPIC 228934525 b","Confirmed",3.67635,0.00017,0.00017,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 228934525",189.001516667,-2.66948057114,"M0.0V",3978,"","","2MASS  J12360036-0240100"
"165","EPIC 228934525 c","Confirmed",7.95478,0.00063,0.00063,2017,"2017-10-26","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC 228934525",189.001516667,-2.66948057114,"M0.0V",3978,"","","2MASS  J12360036-0240100"
"166","EPIC 246393474 b","Confirmed",0.2803226,1.3e-06,1.3e-06,2017,"2017-11-08","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","EPIC 246393474",350.91666668,-1.189166675,"",4373,"","",""
"167","EPIC-206011691 b","Confirmed",9.32414,0.00063,0.00059,2015,"2015-08-28","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC-206011691",340.303708338,-14.4889861253,"M0",4043,"","","2MASS 22411288-1429202"
"168","EPIC-206011691 c","Confirmed",15.5012,0.00099,0.00093,2015,"2015-08-28","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC-206011691",340.303708338,-14.4889861253,"M0",4043,"","","2MASS 22411288-1429202"
"169","EPIC-210490365 b","Confirmed",3.484552,3.7e-05,3.1e-05,2015,"2015-12-10","Published in a refereed paper","Primary Transit","","Primary Transit","","","EPIC-210490365",63.275000002,15.247777794,"M4.5",3180,"","","2MASS J04130560+1514520"
"174","GJ 1132 b","Confirmed",1.62893,3.1e-05,3.1e-05,2015,"2016-07-15","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","O2, H2, N2, CO2","GJ 1132",153.716666684,-47.156666675,"M3.5",3270,"","",""
"175","GJ 1214 b","Confirmed",1.58040482,1.8e-07,1.8e-07,2009,"2014-05-21","Published in a refereed paper","Primary Transit","","","","","GJ 1214",258.8291667,4.9638889,"M",3026,"","",""
"176","GJ 15 A b","Confirmed",11.4433,0.0016,0.0016,2014,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 15 A",4.59535550763,44.0229522831,"M2V",3567,"","","HD 1326A, HIP 1475, GX Andromedae, Groombridge 34, M2"
"177","GJ 160.2 b","Confirmed",5.2354,0.0065,0.0027,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 160.2",61.6451723449,-19.1468780083,"M0V",4347,"","",""
"182","GJ 179 b","Confirmed",2288,59,59,2010,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 179",73.025,6.4766667,"M3.5",3370,"","",""
"183","GJ 180 b","Confirmed",17.38,0.02,0.018,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 180",73.4582490167,-17.7734139096,"M2V",3371,"","",""
"184","GJ 180 c","Confirmed",24.329,0.066,0.052,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 180",73.4582490167,-17.7734139096,"M2V",3371,"","",""
"185","GJ 229 A b","Confirmed",471,12,22,2014,"2017-03-09","Published in a refereed paper","Radial Velocity","","","","","GJ 229 A",92.6442305532,-21.8646421676,"M1 V",3564,"","",""
"187","GJ 27.1 b","Confirmed",15.819,0.026,0.049,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 27.1",9.99510797794,-43.7467781869,"M0.5V",3542,"","",""
"188","GJ 273 b","Confirmed",18.6498,0.0052,0.0059,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 273",111.852041675,5.2257777894,"M3.5",3382,"","",""
"189","GJ 273 c","Confirmed",4.7234,4e-04,4e-04,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 273",111.852041675,5.2257777894,"M3.5",3382,"","",""
"190","GJ 3021 b","Confirmed",133.71,0.2,0.2,2000,"2016-07-29","Published in a refereed paper","Radial Velocity","","","2MASS J00161266-7951042 b, TYC 9354-00780-1 b, HIP 1292 b, HD 1237 b 	, SAO 258219 b","","GJ 3021",4.05,-79.8511111,"G6 V",5540,"","",""
"191","GJ 3138 b","Confirmed",5.974,0.001,0.001,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3138",32.2954166703,-16.339583345,"M0",3717,"","",""
"192","GJ 3138 c","Confirmed",1.22003,4e-05,6e-05,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3138",32.2954166703,-16.339583345,"M0",3717,"","",""
"193","GJ 3138 d","Confirmed",257.8,3.5,3.6,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3138",32.2954166703,-16.339583345,"M0",3717,"","",""
"194","GJ 317 b","Confirmed",692,2,2,2007,"2015-08-01","Submitted to a professional journal","Radial Velocity","Radial Velocity","","","","GJ 317",130.2458333,-23.4563889,"M3.5",3510,"","",""
"196","GJ 328 b","Confirmed",4100,300,300,2013,"2014-08-29","Published in a refereed paper","Radial Velocity","","","","","GJ 328",133.7833,1.54901111,"K7",3900,"","",""
"197","GJ 3293 b","Confirmed",30.5987,0.008,0.008,2014,"2017-03-18","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3293",67.150000012,-25.169166672,"M2.5",3466,"","",""
"198","GJ 3293 c","Confirmed",122.6196,0.24,0.24,2014,"2017-03-21","Published in a refereed paper","Other","Radial Velocity","","","","GJ 3293",67.150000012,-25.169166672,"M2.5",3466,"","",""
"199","GJ 3293 d","Confirmed",48.1345,0.006,0.006,2014,"2017-03-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3293",67.150000012,-25.169166672,"M2.5",3466,"","",""
"200","GJ 3293 e","Confirmed",13.2543,0.01,0.008,2017,"2017-03-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3293",67.150000012,-25.169166672,"M2.5",3466,"","",""
"201","GJ 3323 b","Confirmed",5.3636,7e-04,7e-04,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3323",75.4895833525,-6.9460833622,"M4",3159,"","",""
"202","GJ 3323 c","Confirmed",40.54,0.19,0.21,2017,"2017-03-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3323",75.4895833525,-6.9460833622,"M4",3159,"","",""
"203","GJ 3341 b","Confirmed",14.207,0.007,0.007,2014,"2014-12-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3341",78.945833349,-31.296111127,"M2.5",3526,"","",""
"204","GJ 3470 b","Confirmed",3.33671,5e-05,5e-05,2012,"2013-11-05","Published in a refereed paper","Primary Transit","","","","","GJ 3470",119.775,15.3916667,"M1.5",3600,"","",""
"206","GJ 3942 b","Confirmed",6.905,0.04,0.04,2017,"2017-09-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3942",242.262500001,52.943888916,"M0",3867,"","",""
"207","GJ 3998 b","Confirmed",2.64977,0.00077,0.00081,2016,"2016-07-14","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3998",259.004166667,11.058333341,"M1",3722,"","",""
"208","GJ 3998 c","Confirmed",13.74,0.016,0.016,2016,"2016-07-19","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 3998",259.004166667,11.058333341,"M1",3722,"","",""
"209","GJ 422 b","Confirmed",26.161,0.098,0.082,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 422",169.000856292,-56.4523336445,"M3.5V",3323,"","",""
"210","GJ 433 b","Confirmed",7.3697,0.0036,0.0034,2009,"2014-05-25","Announced on a professional conference","Radial Velocity","","","","","GJ 433",173.8625,-32.54,"M1.5",3600,"","",""
"211","GJ 433 c","Confirmed",3693,253,253,2012,"2014-05-25","Submitted to a professional journal","Radial Velocity","","","","","GJ 433",173.8625,-32.54,"M1.5",3600,"","",""
"212","GJ 436 b","Confirmed",2.64394,9.85041e-05,9.85041e-05,2004,"2017-12-19","Published in a refereed paper","Primary Transit","Radial Velocity","Theoretical","","CH4, H, CO2, CO, H2O","GJ 436",175.5458333,26.7063889,"M2.5",3684,"","",""
"214","GJ 536 b","Confirmed",8.7076,0.0025,0.0022,2016,"2017-04-02","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 536",210.262500001,-2.655000017,"M1",3685,"","",""
"216","GJ 581 b","Confirmed",5.36865,9e-05,9e-05,2005,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","GJ 581",229.8583333,-7.7222222,"M2.5V",3498,"Imaging","","GJ 581"
"217","GJ 581 c","Confirmed",12.9182,0.0022,0.0022,2007,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 581",229.8583333,-7.7222222,"M2.5V",3498,"Imaging","","GJ 581"
"218","GJ 581 e","Confirmed",3.14945,0.00017,0.00017,2009,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","GJ 581",229.8583333,-7.7222222,"M2.5V",3498,"Imaging","","GJ 581"
"219","GJ 625 b","Confirmed",14.638,0.013,0.012,2017,"2017-05-19","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","GJ 625",246.354166675,54.303333342,"M2",3499,"","",""
"220","GJ 649 b","Confirmed",598.3,4.2,4.2,2009,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 649",254.5375,25.7441667,"M1.5",3700,"","",""
"221","GJ 649 c","Confirmed",4.4762,4e-04,4e-04,2013,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 649",254.5375,25.7441667,"M1.5",3700,"","",""
"222","GJ 667 C b","Confirmed",7.2004,0.0017,0.0017,2009,"2016-02-23","Submitted to a professional journal","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"223","GJ 667 C c","Confirmed",28.14,0.03,0.03,2011,"2016-10-08","Submitted to a professional journal","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"224","GJ 667 C d","Confirmed",91.61,0.89,0.81,2012,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"225","GJ 667 C e","Confirmed",62.24,0.55,0.55,2013,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"226","GJ 667 C f","Confirmed",39.026,0.211,0.194,2013,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"227","GJ 667 C g","Confirmed",256.2,7.9,13.8,2013,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 667 C",259.7375,-34.9897222,"M1.5V",3600,"","",""
"228","GJ 674 b","Confirmed",4.6944,0.00182591,0.00182591,2007,"2015-02-27","Submitted to a professional journal","Radial Velocity","Radial Velocity","Theoretical","","","GJ 674",262.1666667,-46.8952778,"M2.5",3600,"","",""
"233","GJ 682 b","Confirmed",17.478,0.04,0.062,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 682",264.265260085,-43.6807861861,"M3.5V",3028,"","",""
"234","GJ 682 c","Confirmed",57.32,0.48,0.45,2014,"2014-05-25","Published in a refereed paper","Radial Velocity","","","","","GJ 682",264.265260085,-43.6807861861,"M3.5V",3028,"","",""
"235","GJ 687 b","Confirmed",38.14,0.015,0.015,2014,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 687",264.108333342,68.339166678,"M3.5V",3413,"","",""
"236","GJ 758 b","Confirmed",109000,62000,198000,2009,"2017-03-06","Published in a refereed paper","Imaging","Spectrum","","","CH4","GJ 758",290.8916667,33.2219444,"K0V",5425,"","","HD 182488, HR 7368, Gliese 758"
"237","GJ 785 b","Confirmed",74.72,0.1,0.1,2010,"2016-02-23","Submitted to a professional journal","Radial Velocity","Radial Velocity","","HD 192310 b","","GJ 785",303.8208333,-27.0330556,"K1V",5144,"IR Excess","",""
"238","GJ 785 c","Confirmed",525.8,9.2,9.2,2011,"2016-02-24","Published in a refereed paper","Radial Velocity","Radial Velocity","","HD 192310 c","","GJ 785",303.8208333,-27.0330556,"K1V",5144,"IR Excess","",""
"243","GJ 86 A b","Confirmed",15.766,0.04,0.04,2000,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 86",32.6080593836,-50.8237272164,"K1V",5350,"","",""
"244","GJ 876 b","Confirmed",61.03,3.81,3.81,2000,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 876",343.3041667,-14.2536111,"M4 V",3350,"","",""
"245","GJ 876 c","Confirmed",30.23,0.19,0.19,2000,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 876",343.3041667,-14.2536111,"M4 V",3350,"","",""
"246","GJ 876 d","Confirmed",1.94,0.01,0.01,2005,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 876",343.3041667,-14.2536111,"M4 V",3350,"","",""
"247","GJ 876 e","Confirmed",124.69,90.04,90.04,2010,"2016-02-23","Published in a refereed paper","Radial Velocity","","","","","GJ 876",343.3041667,-14.2536111,"M4 V",3350,"","",""
"248","GJ 9827 b","Confirmed",1.2089819,1.3e-05,1.3e-05,2017,"2017-11-07","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","GJ 9827",352.104166695,-1.286388897,"K6V",4255,"","",""
"249","GJ 9827 c","Confirmed",3.648086,1e-04,1e-04,2017,"2017-11-07","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","GJ 9827",352.104166695,-1.286388897,"K6V",4255,"","",""
"250","GJ 9827 d","Confirmed",6.201472,0.00013,0.00013,2017,"2017-11-07","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","GJ 9827",352.104166695,-1.286388897,"K6V",4255,"","",""
"255","HAT-36 b","Confirmed",4.1752379,2.1e-06,2.1e-06,2017,"2017-06-29","Published in a refereed paper","Primary Transit","Radial Velocity","","EPIC 215969174  b","","HATS-36",291.478500018,-23.202777784,"G0V",5970,"","","2MASS 19255488-2312100, EPIC 215969174"
"256","HAT-P-1 b","Confirmed",4.46529976,5.5e-07,5.5e-07,2006,"2015-04-30","Published in a refereed paper","Primary Transit","","","","H2O, O I, K, C","HAT-P-1",344.4458333,38.675,"GOV",5980,"","",""
"257","HAT-P-11 b","Confirmed",4.887802443,3e-08,3e-08,2009,"2016-11-02","Submitted to a professional journal","Primary Transit","","","","","HAT-P-11",297.7083333,48.0808333,"K4",4780,"","",""
"258","HAT-P-12 b","Confirmed",3.2130598,2.1e-06,2.1e-06,2009,"2014-05-21","Submitted to a professional journal","Primary Transit","","","","","HAT-P-12",209.3916667,43.4936111,"",4650,"","",""
"259","HAT-P-13 b","Confirmed",2.916243,3e-06,3e-06,2009,"2017-01-05","Published in a refereed paper","Primary Transit","","","","","HAT-P-13",129.8833333,47.3519444,"G4",5638,"","",""
"260","HAT-P-13 c","Confirmed",446.27,0.22,0.22,2009,"2014-08-22","Published in a refereed paper","Radial Velocity","","","","","HAT-P-13",129.8833333,47.3519444,"G4",5638,"","",""
"261","HAT-P-14 b","Confirmed",4.627657,5e-06,5e-06,2010,"2017-01-17","Published in a refereed paper","Primary Transit","","","WASP-27 b","","HAT-P-14",260.1166667,38.2422222,"F",6600,"","",""
"262","HAT-P-15 b","Confirmed",10.863502,27,27,2010,"2010-05-31","Published in a refereed paper","Primary Transit","","","","","HAT-P-15",66.25,39.4605556,"G5",5568,"","",""
"263","HAT-P-16 b","Confirmed",2.77596,3e-06,3e-06,2010,"2013-07-22","Published in a refereed paper","Primary Transit","","","","","HAT-P-16",9.575,42.4630556,"F8",6158,"","",""
"266","HAT-P-18 b","Confirmed",5.508029,4.2e-06,4.2e-06,2010,"2015-11-12","Published in a refereed paper","Primary Transit","","","HAT-18b","","HAT-P-18",256.35,33.0125,"K",4870,"","",""
"267","HAT-P-19 b","Confirmed",4.008784,7e-07,7e-07,2010,"2015-08-26","Published in a refereed paper","Primary Transit","","","","","HAT-P-19",9.5166667,34.7116667,"K",4990,"","",""
"268","HAT-P-2 b","Confirmed",5.6334729,6.1e-06,6.1e-06,2007,"2012-09-20","Published in a refereed paper","Primary Transit","","","","","HAT-P-2",245.15,41.0480556,"F8",6414,"","",""
"269","HAT-P-20 b","Confirmed",2.875317,4e-06,4e-06,2010,"2017-02-13","Published in a refereed paper","Primary Transit","","","","","HAT-P-20",111.9166667,24.3363889,"K7",4595,"","",""
"270","HAT-P-21 b","Confirmed",4.124461,7e-06,7e-06,2010,"2014-09-28","Published in a refereed paper","Primary Transit","","","","","HAT-P-21",171.275,41.0280556,"G3",5588,"","",""
"271","HAT-P-22 b","Confirmed",3.21222,9e-06,9e-06,2010,"2015-08-20","Published in a refereed paper","Primary Transit","","","","","HAT-P-22",155.6833333,50.1283333,"G5",5302,"","",""
"272","HAT-P-23 b","Confirmed",1.212884,2e-05,2e-05,2010,"2011-05-20","Published in a refereed paper","Primary Transit","","","","","HAT-P-23",306.125,16.7622222,"G5",5924,"","",""
"273","HAT-P-24 b","Confirmed",3.35524,7e-06,7e-06,2010,"2012-07-05","Published in a refereed paper","Primary Transit","","","","","HAT-P-24",108.825,14.2622222,"F8",6373,"","",""
"275","HAT-P-26 b","Confirmed",4.234516,1.5e-05,1.5e-05,2010,"2017-07-04","Submitted to a professional journal","Primary Transit","","","","H2O","HAT-P-26",213.156404179,4.06003612014,"K1",5079,"","",""
"276","HAT-P-27-WASP-40 b","Confirmed",3.0395803,1.5e-06,1.5e-06,2011,"2015-08-26","Published in a refereed paper","Primary Transit","","","","","HAT-P-27-WASP-40",222.7666667,5.9472222,"G8",5300,"","",""
"277","HAT-P-28 b","Confirmed",3.257215,7e-06,7e-06,2011,"2014-05-25","Published in a refereed paper","Primary Transit","","","","","HAT-P-28",13,34.7283333,"G3",5680,"","",""
"278","HAT-P-29 b","Confirmed",5.723186,4.9e-05,4.9e-05,2011,"2014-05-30","Published in a refereed paper","Primary Transit","","","","","HAT-P-29",33.1291667,51.7788889,"F8",6087,"","",""
"279","HAT-P-3 b","Confirmed",2.899703,5.4e-05,5.4e-05,2007,"2013-05-07","Published in a refereed paper","Primary Transit","","","","","HAT-P-3",206.0958333,48.0286111,"K",5224,"","",""
"280","HAT-P-30-WASP-51 b","Confirmed",2.810595,5e-06,5e-06,2011,"2013-05-31","Published in a refereed paper","Primary Transit","","","","","HAT-P-30-WASP-51",123.95,5.8366667,"F",6250,"","",""
"281","HAT-P-31 b","Confirmed",5.005425,9.2e-05,9.1e-05,2011,"2014-05-25","Published in a refereed paper","Primary Transit","","","","","HAT-P-31",271.5375,26.4266667,"",6065,"","",""
